,,accuracy,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,f1,f1,f1,f1,f1,runtime,runtime,runtime,runtime,runtime,total_budget,total_budget,total_budget,total_budget,total_budget,avg_budget_per_node,avg_budget_per_node,avg_budget_per_node,avg_budget_per_node,avg_budget_per_node,scheduler_efficiency,scheduler_efficiency,scheduler_efficiency,scheduler_efficiency,scheduler_efficiency
,,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
size,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,baseline,0.700725,0.03515190250896815,0.62375,0.76875,0.705625,0.7025286627431975,0.03559124890260394,0.6242099101036743,0.7696448111673025,0.7064565009840401,0.7013509147067682,0.034912396918142186,0.6261263449604381,0.7684612087205963,0.7033698310144925,0.6996008671786675,0.03604784957656033,0.6226957064145819,0.767966406340093,0.702757290118116,2.045723490715027,0.1834481869527205,1.8294320106506348,2.5703201293945312,2.0068254470825195,720000.0,0.0,720000.0,720000.0,720000.0,180.0,0.0,180.0,180.0,180.0,9.732291666666668e-07,4.882208681801129e-08,8.663194444444445e-07,1.0677083333333333e-06,9.800347222222224e-07
large,scheduled,0.5664750000000001,0.023537163948417695,0.52875,0.625,0.56,0.5669647627693629,0.02406412973182975,0.5256766567344994,0.6268546251068545,0.5610307315691864,0.5669861974913742,0.023703365899270037,0.5272128467485798,0.6285228249176366,0.5612197970317145,0.5657113452715348,0.02387405328381201,0.5257330968739483,0.6250127692329448,0.5600279399858908,0.8997750425338745,0.0852029527759572,0.8058197498321533,1.2108585834503174,0.864647626876831,481770.0,0.0,481770.0,481770.0,481770.0,120.44249725341797,0.0,120.44249725341797,120.44249725341797,120.44249725341797,1.1758204122299023e-06,4.885560318911034e-08,1.0975154119185505e-06,1.2972995412748823e-06,1.1623803889822945e-06
medium,baseline,0.9730666666666667,0.01741633710588827,0.9166666666666666,1.0,0.9766666666666667,0.9737670499490695,0.01663444154827877,0.9211347298110368,1.0,0.9770396270396271,0.9729948325800976,0.016828755504338922,0.923647691871991,1.0,0.976028773821178,0.9729103654625629,0.017227346365153936,0.9190959719798438,1.0,0.9763511023094678,0.9011747741699219,0.15860886931769444,0.7677345275878906,1.8562994003295898,0.8648618459701538,225000.0,0.0,225000.0,225000.0,225000.0,150.0,0.0,150.0,150.0,150.0,4.324740740740741e-06,7.740594269283679e-08,4.074074074074074e-06,4.444444444444444e-06,4.340740740740741e-06
medium,scheduled,0.7977333333333334,0.04529790532416888,0.6833333333333333,0.8866666666666667,0.8,0.7980035574594468,0.045171143158544584,0.6854690218118561,0.887376905706765,0.8009722330535647,0.7987160861940782,0.04576638352703534,0.6873758415138891,0.8895759527643586,0.8022387628878354,0.7966584896783396,0.04534744135797914,0.6830065359477123,0.8865295984393401,0.7995818497720006,0.532730803489685,0.08411148516887076,0.462475061416626,0.943267822265625,0.5065890550613403,152450.0,0.0,152450.0,152450.0,152450.0,101.63333129882812,0.0,101.63333129882812,101.63333129882812,101.63333129882812,5.232753908385263e-06,2.97132865360242e-07,4.482343937903138e-06,5.816114573084072e-06,5.247622171203674e-06
small,baseline,0.9953333333333333,0.008275308189039429,0.9666666666666667,1.0,1.0,0.9957458520037467,0.007531405579370704,0.970959595959596,1.0,1.0,0.9954193120819046,0.008326266384886672,0.9638888888888889,1.0,1.0,0.9954794294133277,0.00805739716010161,0.9668649202530518,1.0,1.0,0.38868403911590577,0.04642781411818335,0.2812492847442627,0.5319607257843018,0.3845558166503906,87714.0,5391.45241875262,63900.0,90000.0,90000.0,292.38,17.971508062508725,213.0,300.0,300.0,1.1397023477284847e-05,8.309550373358303e-07,1.074074074074074e-05,1.5388628064684403e-05,1.1111111111111112e-05
small,scheduled,0.964,0.03322431150954745,0.8333333333333334,1.0,0.9666666666666667,0.9647804648386018,0.03264814700888647,0.8355555555555555,1.0,0.9710144927536232,0.9645529613653722,0.03471287927513022,0.8248156623442665,1.0,0.9715151515151514,0.963586821134946,0.03447360939476815,0.8250000000000001,1.0,0.9682178932178932,0.3279028558731079,0.04656091510461438,0.2780025005340576,0.46947789192199707,0.31048381328582764,62970.0,0.0,62970.0,62970.0,62970.0,209.89999389648438,0.0,209.89999389648438,209.89999389648438,209.89999389648438,1.5308877243131648e-05,5.276212721859205e-07,1.3233815044200944e-05,1.588057805304113e-05,1.5351225451273094e-05
