size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
large,30,baseline,0.7175,0.7177485950677421,0.7180268446741316,0.7178754783247426,1.9344213008880615,720000.0,180.0,9.965277777777778e-07,,
large,30,scheduled,0.58625,0.5861300928567489,0.5864995524480249,0.5862257518515642,0.8515124320983887,481770.0,120.44249725341797,1.2168669697158397e-06,0.5806941986083984,-1.8989760875701904
large,31,baseline,0.70625,0.7067983225877962,0.708289127062219,0.7073831116846495,1.9227125644683838,720000.0,180.0,9.809027777777779e-07,,
large,31,scheduled,0.5525,0.5521677383877815,0.555004921913535,0.5525570138779449,0.8316187858581543,481770.0,120.44249725341797,1.1468127944869959e-06,0.5789295434951782,-1.9049876928329468
large,32,baseline,0.6525,0.6519908938185148,0.6496652186887492,0.6498291634739934,2.0532326698303223,720000.0,180.0,9.0625e-07,,
large,32,scheduled,0.5525,0.5533433886375062,0.5536673770914294,0.552456754197351,0.999030590057373,481770.0,120.44249725341797,1.1468127944869959e-06,0.5929388999938965,-1.7970629930496216
large,33,baseline,0.76875,0.7696448111673025,0.7684612087205963,0.767966406340093,1.8738110065460205,720000.0,180.0,1.0677083333333333e-06,,
large,33,scheduled,0.57625,0.5762501357954767,0.576281011105162,0.576248048880765,0.8401918411254883,481770.0,120.44249725341797,1.1961101770554415e-06,0.5670070648193359,-1.7037590742111206
large,34,baseline,0.65,0.648768574012748,0.6501942041052574,0.6428069941265656,1.8822076320648193,720000.0,180.0,9.027777777777778e-07,,
large,34,scheduled,0.555,0.5542993581704948,0.5550632630505964,0.5542105878947984,0.8644020557403564,481770.0,120.44249725341797,1.1520019926520955e-06,0.5823219418525696,-1.9853010177612305
large,35,baseline,0.68125,0.6821001281767706,0.6815404881163872,0.6806958141610573,2.142240047454834,720000.0,180.0,9.461805555555556e-07,,
large,35,scheduled,0.55,0.5508830300200561,0.550199455085331,0.5499975163848578,0.9721031188964844,481770.0,120.44249725341797,1.1416235963218965e-06,0.5780411958694458,-1.846006989479065
large,36,baseline,0.69875,0.6989727165873175,0.6988022490683639,0.6982686739716052,1.8507328033447266,720000.0,180.0,9.70486111111111e-07,,
large,36,scheduled,0.56,0.5608853057090396,0.5599579473027138,0.5599037634125353,0.8241934776306152,481770.0,120.44249725341797,1.1623803889822945e-06,0.5862294435501099,-1.8244171142578125
large,37,baseline,0.7575,0.7589722375436662,0.7589608263075887,0.7569135312817622,1.9883124828338623,720000.0,180.0,1.0520833333333334e-06,,
large,37,scheduled,0.61125,0.6136161780473265,0.6123447266353811,0.6110602785466055,0.8462083339691162,481770.0,120.44249725341797,1.2687589513668346e-06,0.5742102265357971,-1.7559618949890137
large,38,baseline,0.6775,0.6775352795769579,0.6785768940377137,0.6778755119633516,2.5115811824798584,720000.0,180.0,9.409722222222222e-07,,
large,38,scheduled,0.54625,0.5480247671435713,0.547707068802591,0.5459315128331897,0.9214985370635986,481770.0,120.44249725341797,1.133839799074247e-06,0.5974780321121216,-2.111020565032959
large,39,baseline,0.71375,0.7213049688697201,0.7144297840524256,0.7135373253385676,2.0845375061035156,720000.0,180.0,9.913194444444445e-07,,
large,39,scheduled,0.56,0.5602237061166432,0.5603162246558472,0.5599085007711452,0.9117381572723389,481770.0,120.44249725341797,1.1623803889822945e-06,0.5849098563194275,-1.9972153902053833
