size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
small,31,scheduled,0.9666666666666667,0.9555555555555556,0.9761904761904763,0.9638447971781305,0.3877434730529785,62970.0,209.89999389648438,1.5351225451273094e-05,0.15124167501926422,0.43232154846191406
small,32,baseline,1.0,1.0,1.0,1.0,0.5044901371002197,90000.0,300.0,1.1111111111111112e-05,,
small,32,scheduled,0.9333333333333333,0.9377289377289376,0.925793650793651,0.9307204934118306,0.46195268630981445,62970.0,209.89999389648438,1.4821872849505055e-05,0.20738382637500763,0.2413787841796875
small,33,baseline,1.0,1.0,1.0,1.0,0.35133910179138184,79200.0,264.0,1.2626262626262626e-05,,
small,33,scheduled,0.9833333333333333,0.9824561403508771,0.9824561403508771,0.981981981981982,0.332409143447876,62970.0,209.89999389648438,1.5615901752157112e-05,0.17540431022644043,0.33079203963279724
small,34,baseline,1.0,1.0,1.0,1.0,0.40857362747192383,90000.0,300.0,1.1111111111111112e-05,,
small,34,scheduled,0.9333333333333333,0.9345117845117844,0.934126984126984,0.9331094582012575,0.29683423042297363,62970.0,209.89999389648438,1.4821872849505055e-05,0.20866155624389648,0.22467705607414246
small,35,baseline,0.9833333333333333,0.9848484848484849,0.9824561403508771,0.9832390530064948,0.4128093719482422,90000.0,300.0,1.0925925925925925e-05,,
small,35,scheduled,0.9833333333333333,0.9841269841269842,0.9824561403508771,0.9828609096901779,0.29815244674682617,62970.0,209.89999389648438,1.5615901752157112e-05,0.228130042552948,0.09776239097118378
small,36,baseline,1.0,1.0,1.0,1.0,0.3840358257293701,90000.0,300.0,1.1111111111111112e-05,,
small,36,scheduled,0.9666666666666667,0.9639376218323586,0.9733333333333333,0.9675782925782926,0.3311800956726074,62970.0,209.89999389648438,1.5351225451273094e-05,0.17251558601856232,0.31675636768341064
small,37,baseline,1.0,1.0,1.0,1.0,0.36695432662963867,89100.0,297.0,1.122334455667789e-05,,
small,37,scheduled,1.0,1.0,1.0,1.0,0.3121035099029541,62970.0,209.89999389648438,1.588057805304113e-05,0.17985950410366058,0.2812380790710449
small,38,baseline,1.0,1.0,1.0,1.0,0.41582417488098145,90000.0,300.0,1.1111111111111112e-05,,
small,38,scheduled,0.9166666666666666,0.9208754208754208,0.9259259259259259,0.9178451178451179,0.35190606117248535,62970.0,209.89999389648438,1.4557196548621035e-05,0.20718853175640106,0.16562189161777496
small,39,baseline,1.0,1.0,1.0,1.0,0.40555524826049805,90000.0,300.0,1.1111111111111112e-05,,
small,39,scheduled,0.9666666666666667,0.9685672514619883,0.9685672514619883,0.9685672514619883,0.3019683361053467,62970.0,209.89999389648438,1.5351225451273094e-05,0.17032000422477722,0.3424023687839508
small,40,baseline,1.0,1.0,1.0,1.0,0.37691330909729004,87300.0,291.0,1.145475372279496e-05,,
small,40,scheduled,0.9333333333333333,0.9305555555555555,0.9382456140350878,0.932956966570412,0.325641393661499,62970.0,209.89999389648438,1.4821872849505055e-05,0.2058609426021576,0.17580534517765045
small,41,baseline,1.0,1.0,1.0,1.0,0.3748300075531006,90000.0,300.0,1.1111111111111112e-05,,
small,41,scheduled,0.9833333333333333,0.9824561403508771,0.9866666666666667,0.9841882699025556,0.3034031391143799,62970.0,209.89999389648438,1.5615901752157112e-05,0.18653099238872528,0.28714805841445923
small,42,baseline,1.0,1.0,1.0,1.0,0.38918352127075195,90000.0,300.0,1.1111111111111112e-05,,
small,42,scheduled,0.9833333333333333,0.9814814814814815,0.9871794871794872,0.9839402427637722,0.30590033531188965,62970.0,209.89999389648438,1.5615901752157112e-05,0.19405138492584229,0.2379527986049652
small,43,baseline,0.9833333333333333,0.9841269841269842,0.9848484848484849,0.9841179807146908,0.3939487934112549,87300.0,291.0,1.1263841160748377e-05,,
small,43,scheduled,0.9666666666666667,0.9696969696969697,0.9696969696969697,0.9682539682539683,0.35262513160705566,62970.0,209.89999389648438,1.5351225451273094e-05,0.16620022058486938,0.3820266127586365
small,44,baseline,0.9833333333333333,0.9861111111111112,0.9814814814814815,0.9833839918946302,0.2951226234436035,74700.0,249.0,1.3163766175814368e-05,,
small,44,scheduled,0.8333333333333334,0.8355555555555555,0.8248156623442665,0.8250000000000001,0.3523848056793213,62970.0,209.89999389648438,1.3233815044200944e-05,0.2206149846315384,0.14317548274993896
small,45,baseline,0.9833333333333333,0.9861111111111112,0.9855072463768115,0.9855003940110323,0.3644893169403076,90000.0,300.0,1.0925925925925925e-05,,
small,45,scheduled,0.9833333333333333,0.9861111111111112,0.9855072463768115,0.9855003940110323,0.39295291900634766,62970.0,209.89999389648438,1.5615901752157112e-05,0.21456395089626312,0.19306571781635284
small,46,baseline,1.0,1.0,1.0,1.0,0.5149743556976318,90000.0,300.0,1.1111111111111112e-05,,
small,46,scheduled,0.9833333333333333,0.9833333333333334,0.9861111111111112,0.9843607928714312,0.46947789192199707,62970.0,209.89999389648438,1.5615901752157112e-05,0.21880987286567688,0.1395081728696823
small,47,baseline,1.0,1.0,1.0,1.0,0.40609145164489746,90000.0,300.0,1.1111111111111112e-05,,
small,47,scheduled,0.9,0.8988897364183406,0.9036377708978328,0.9008798592225244,0.3350811004638672,62970.0,209.89999389648438,1.4292520247737017e-05,0.20855753123760223,0.18180795013904572
small,48,baseline,0.9833333333333333,0.9861111111111112,0.9833333333333334,0.9843607928714312,0.3571281433105469,83700.0,279.0,1.1748307447232178e-05,,
small,48,scheduled,0.95,0.9531024531024531,0.9543478260869565,0.9533875338753388,0.29718542098999023,62970.0,209.89999389648438,1.5086549150389073e-05,0.2177826166152954,0.15344080328941345
small,49,baseline,1.0,1.0,1.0,1.0,0.38919973373413086,90000.0,300.0,1.1111111111111112e-05,,
small,49,scheduled,0.9833333333333333,0.9861111111111112,0.9814814814814815,0.9833839918946302,0.32043004035949707,62970.0,209.89999389648438,1.5615901752157112e-05,0.25256308913230896,-0.04237810894846916
medium,0,baseline,0.97,0.9696545284780579,0.9707950578571093,0.9697666621993931,0.9232885837554932,225000.0,150.0,4.311111111111111e-06,,
medium,0,scheduled,0.8133333333333334,0.814169496620495,0.8143051451620469,0.8120049541102173,0.50014328956604,152450.0,101.63333129882812,5.335082540723734e-06,0.5311415791511536,-1.5479925870895386
medium,1,baseline,0.9666666666666667,0.9684042332238209,0.9663982550225766,0.967092891638142,0.8468406200408936,225000.0,150.0,4.296296296296296e-06,,
medium,1,scheduled,0.74,0.7413352970054001,0.7416690470347319,0.7398525721913117,0.5307025909423828,152450.0,101.63333129882812,4.854050508363398e-06,0.5652726292610168,-1.87570059299469
medium,2,baseline,0.9666666666666667,0.9666120294317929,0.9661162710698314,0.9662525887185115,0.8346149921417236,225000.0,150.0,4.296296296296296e-06,,
medium,2,scheduled,0.7566666666666667,0.7577718262585318,0.7590185725116142,0.756791457493828,0.4695169925689697,152450.0,101.63333129882812,4.963375970263474e-06,0.5553098320960999,-1.661025881767273
medium,3,baseline,1.0,1.0,1.0,1.0,0.7908422946929932,225000.0,150.0,4.444444444444444e-06,,
medium,3,scheduled,0.8633333333333333,0.86304012345679,0.8635855490678633,0.8628972163472065,0.462475061416626,152450.0,101.63333129882812,5.663058926423964e-06,0.5340900421142578,-1.5870692729949951
medium,4,baseline,0.9566666666666667,0.9641873278236915,0.9546244029526704,0.9575363287107955,1.8562994003295898,225000.0,150.0,4.2518518518518515e-06,,
medium,4,scheduled,0.7966666666666666,0.797929967889441,0.8001090901293536,0.7970393823362918,0.943267822265625,152450.0,101.63333129882812,5.225757078823658e-06,0.5485524535179138,-1.74301278591156
