size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
large,40,baseline,0.71375,0.7135017234457276,0.7134771171494335,0.7130973710192935,2.1764090061187744,720000.0,180.0,9.913194444444445e-07,,
large,40,scheduled,0.5775,0.5762534522320999,0.5781678773204196,0.5765773319511353,0.9093306064605713,481770.0,120.44249725341797,1.1987047761379912e-06,0.5800726413726807,-1.8879218101501465
large,41,baseline,0.6525,0.6534937781740849,0.6575667429078945,0.6523554729635919,2.342033863067627,720000.0,180.0,9.0625e-07,,
large,41,scheduled,0.54375,0.5442801053864862,0.5454245447942415,0.5438184395950442,0.8650856018066406,481770.0,120.44249725341797,1.1286506009091474e-06,0.5993162989616394,-2.1230268478393555
large,42,baseline,0.7125,0.7126648008670481,0.713491528643765,0.7129177447490064,2.031710386276245,720000.0,180.0,9.895833333333333e-07,,
large,42,scheduled,0.56,0.5600339390778233,0.5613915839672668,0.5588729372965627,0.9068441390991211,481770.0,120.44249725341797,1.1623803889822945e-06,0.5707123279571533,-1.8995728492736816
large,43,baseline,0.6675,0.667902594020037,0.6695266574602187,0.6670297610707542,2.100308895111084,720000.0,180.0,9.270833333333333e-07,,
large,43,scheduled,0.54,0.5435547856366632,0.5411502667120645,0.5392503578954534,0.950650691986084,481770.0,120.44249725341797,1.1208668036614983e-06,0.585518479347229,-2.078287124633789
large,44,baseline,0.7475,0.7513409918670847,0.7491779181761592,0.7472493557804549,2.1762874126434326,720000.0,180.0,1.0381944444444446e-06,,
large,44,scheduled,0.58625,0.5875321038404805,0.585204231131566,0.5855682591817646,0.8621611595153809,481770.0,120.44249725341797,1.2168669697158397e-06,0.5719395279884338,-1.7226923704147339
large,45,baseline,0.69125,0.6949944455229837,0.6933605780620705,0.6902975653376089,2.2340896129608154,720000.0,180.0,9.600694444444446e-07,,
large,45,scheduled,0.53875,0.542765596525241,0.5398760167416884,0.5389736319312428,0.9498589038848877,481770.0,120.44249725341797,1.1182722045789484e-06,0.5767906308174133,-1.6576337814331055
large,46,baseline,0.72125,0.7235405294714014,0.7219997577979894,0.7213926050484818,2.417490005493164,720000.0,180.0,1.0017361111111111e-06,,
large,46,scheduled,0.5775,0.576460406812453,0.5760051031400364,0.5749134429362707,1.1135952472686768,481770.0,120.44249725341797,1.1987047761379912e-06,0.5782424807548523,-1.9007885456085205
large,47,baseline,0.7325,0.7331743580219018,0.7312499920803169,0.7313351016799293,2.0793297290802,720000.0,180.0,1.017361111111111e-06,,
large,47,scheduled,0.55875,0.5592657494764887,0.5590780369661236,0.5590053982084076,0.9262573719024658,481770.0,120.44249725341797,1.1597857898997446e-06,0.593733012676239,-2.2385568618774414
large,48,baseline,0.6625,0.6705886855941391,0.6646667210869546,0.6618790772007412,2.097841739654541,720000.0,180.0,9.201388888888889e-07,,
large,48,scheduled,0.545,0.5445970695970695,0.5448513872638386,0.5446913310231858,0.8786904811859131,481770.0,120.44249725341797,1.1312451999916973e-06,0.5859495997428894,-1.9917348623275757
large,49,baseline,0.62375,0.6338274938459286,0.6261263449604381,0.6226957064145819,2.5703201293945312,720000.0,180.0,8.663194444444445e-07,,
large,49,scheduled,0.53,0.5315522307362257,0.5302610289924256,0.53063687443721,0.9393107891082764,481770.0,120.44249725341797,1.1001100110011001e-06,0.5970001816749573,-2.186328411102295
