size,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
large,20,baseline,0.67,0.6672893861214254,0.6715419628891777,0.6671294874978217,1.9135701656341553,720000.0,180.0,9.305555555555556e-07,,
large,20,scheduled,0.5325,0.5311347069990687,0.5342564615387104,0.5268172982684761,0.9749937057495117,481770.0,120.44249725341797,1.1052992091661995e-06,0.5926282405853271,-2.2565767765045166
large,21,baseline,0.6825,0.6848378569409105,0.6856595237830431,0.6835143012487598,1.8476693630218506,720000.0,180.0,9.479166666666667e-07,,
large,21,scheduled,0.56875,0.5734587251828631,0.5723170493381697,0.568195877153323,0.8578615188598633,481770.0,120.44249725341797,1.1805425825601427e-06,0.5934809446334839,-2.056811571121216
large,22,baseline,0.67375,0.6726299154875028,0.6745326238471202,0.6717159058134028,1.8573434352874756,720000.0,180.0,9.357638888888888e-07,,
large,22,scheduled,0.58,0.5799626299626299,0.5803618323423876,0.5788089271643962,0.8403034210205078,481770.0,120.44249725341797,1.2038939743030906e-06,0.5899099707603455,-2.0639243125915527
large,23,baseline,0.715,0.7163527639379496,0.7165287990196078,0.7146161505210699,1.8609411716461182,720000.0,180.0,9.930555555555555e-07,,
large,23,scheduled,0.57125,0.5716164590347687,0.5717677696078431,0.5715477883898937,0.9677779674530029,481770.0,120.44249725341797,1.1857317807252423e-06,0.580710232257843,-1.9253185987472534
large,24,baseline,0.705,0.706114679380284,0.7036582986825938,0.7026799709608967,1.920867919921875,720000.0,180.0,9.791666666666667e-07,,
large,24,scheduled,0.55375,0.5497195254002634,0.5497620774926552,0.5494718354400404,0.8679158687591553,481770.0,120.44249725341797,1.1494073935695456e-06,0.5762563943862915,-1.8319395780563354
large,25,baseline,0.74,0.7416528646734727,0.7396741222154736,0.7398337609986129,1.8294320106506348,720000.0,180.0,1.0277777777777777e-06,,
large,25,scheduled,0.5775,0.5782358885336835,0.5773861550095086,0.5774534743630481,0.818077564239502,481770.0,120.44249725341797,1.1987047761379912e-06,0.5811843872070312,-1.9218688011169434
large,26,baseline,0.7425,0.7444257864589123,0.7428397754950757,0.743512237832849,1.896158218383789,720000.0,180.0,1.03125e-06,,
large,26,scheduled,0.585,0.5850996173637683,0.5858724981467754,0.5847713238924359,1.0067088603973389,481770.0,120.44249725341797,1.2142723706332896e-06,0.569687008857727,-1.7746500968933105
large,27,baseline,0.73,0.7320531598995195,0.7279087964479384,0.7280861446763142,2.0453896522521973,720000.0,180.0,1.013888888888889e-06,,
large,27,scheduled,0.57,0.5707215874448693,0.5704589292863123,0.5698957121439346,0.8058197498321533,481770.0,120.44249725341797,1.1831371816426924e-06,0.5760481953620911,-1.839691162109375
large,28,baseline,0.685,0.6879350941796055,0.6843160300255559,0.6853665754896023,1.8571746349334717,720000.0,180.0,9.51388888888889e-07,,
large,28,scheduled,0.56125,0.5612604337367365,0.5622046891623942,0.5612816764968027,0.8372187614440918,481770.0,120.44249725341797,1.1649749880648444e-06,0.5879064798355103,-1.8996821641921997
large,29,baseline,0.6725,0.6696146335295522,0.6781125367693502,0.6677822875236826,2.0179061889648438,720000.0,180.0,9.340277777777778e-07,,
large,29,scheduled,0.54375,0.5443625723535065,0.5475595612717232,0.5412908469870495,1.1727330684661865,481770.0,120.44249725341797,1.1286506009091474e-06,0.5893571972846985,-2.2269299030303955
