group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,30,baseline,0.8729281767955801,0.8577710930302149,0.8772115446446904,0.866217168734773,12.847652912139893,406200.0,150.0,2.14901077497681e-06,,
cora,30,scheduled,0.8802946593001841,0.8635642520222218,0.8753648800529277,0.867699441480057,9.356680631637573,196026.0,72.38774108886719,4.490703576567313e-06,0.5495885014533997,0.5328134298324585
cora,31,baseline,0.9005524861878453,0.8895735864902354,0.8947472642823254,0.8917284668043839,13.14601993560791,414324.0,153.0,2.1735465147755027e-06,,
cora,31,scheduled,0.9116022099447514,0.9048158519039615,0.9020871020068452,0.9027278718061928,10.299081325531006,217810.0,80.43205261230469,4.185309260110883e-06,0.5603541135787964,0.4865109622478485
cora,32,baseline,0.8987108655616943,0.8908184721352567,0.8942849358076417,0.8922060307165361,12.680920839309692,398076.0,147.0,2.2576363949640127e-06,,
cora,32,scheduled,0.8950276243093923,0.8832250840479504,0.8852419048429017,0.8836323110908587,10.039378643035889,223256.0,82.44313049316406,4.008974559740353e-06,0.5408380627632141,0.565752387046814
cora,33,baseline,0.8747697974217311,0.8725101583895564,0.8750977139622963,0.8729944534901259,10.314326047897339,349332.0,129.0,2.504121573236151e-06,,
cora,33,scheduled,0.858195211786372,0.8537196294578532,0.8490064668388305,0.8498810619530554,8.814812183380127,190580.0,70.37666320800781,4.5030706883533005e-06,0.5882654786109924,0.39397478103637695
cora,34,baseline,0.8839779005524862,0.8797429483199631,0.8595722421032477,0.8661970608518502,10.966768264770508,341208.0,126.0,2.590730289302965e-06,,
cora,34,scheduled,0.8895027624309392,0.8820258612578208,0.8755115026528663,0.8774872787138749,9.873745203018188,206918.0,76.40989685058594,4.29881770764718e-06,0.5568080544471741,0.5112728476524353
cora,35,baseline,0.8802946593001841,0.8695672898032456,0.8775459969142261,0.8725839152198283,12.37508773803711,389952.0,144.0,2.2574436322936774e-06,,
cora,35,scheduled,0.8895027624309392,0.8772703665470221,0.8777960695610284,0.8771133191996607,9.88227915763855,228702.0,84.45420837402344,3.889352792852442e-06,0.5388029217720032,0.5844610333442688
cora,36,baseline,0.852670349907919,0.8542350186353521,0.8303930548845947,0.8412771536546249,12.630789041519165,406200.0,150.0,2.099139216907728e-06,,
cora,36,scheduled,0.8710865561694291,0.8713855694874413,0.8421533182670071,0.8550944670622146,9.142277240753174,212364.0,78.42097473144531,4.101856040427893e-06,0.5690526366233826,0.4688148498535156
cora,37,baseline,0.8692449355432781,0.8643907740786565,0.8608460291417633,0.8617322886759767,12.449312448501587,389952.0,144.0,2.2291075197544262e-06,,
cora,37,scheduled,0.8766114180478821,0.8747239344662339,0.867262714978739,0.8695393480537128,11.565773487091064,250486.0,92.49851989746094,3.499642367429246e-06,0.5427770614624023,0.5517743825912476
cora,38,baseline,0.856353591160221,0.8504199414296688,0.8588927603125249,0.85293214686112,13.776182651519775,438696.0,162.0,1.952043308259526e-06,,
cora,38,scheduled,0.8710865561694291,0.8715579829394586,0.8690222812967784,0.8690040746284285,10.711293697357178,228702.0,84.45420837402344,3.8088278903089134e-06,0.5230371952056885,0.6599950194358826
cora,39,baseline,0.8692449355432781,0.8748195598216929,0.8601347859525788,0.8645710425934955,10.77490496635437,333084.0,123.0,2.609686852395426e-06,,
cora,39,scheduled,0.8637200736648251,0.8745286925683012,0.8483631362150748,0.8591022229598445,9.212593793869019,196026.0,72.38774108886719,4.406150580355795e-06,0.5379881262779236,0.590816855430603
