group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,30,baseline,0.6243093922651933,0.4273016803726822,0.48326303498205514,0.4506335579364405,47.73676013946533,487440.0,180.0,1.2807922867741534e-06,,
cora,30,scheduled,0.6537753222836096,0.5236298660104292,0.5277887641583449,0.5094369457897657,27.915725708007812,245040.0,90.48744201660156,2.6680351056301403e-06,0.7750195264816284,-0.6861550211906433
cora,31,baseline,0.58195211786372,0.4205358501242597,0.4735037294151951,0.4108895026664441,48.031097412109375,487440.0,180.0,1.1938948749871165e-06,,
cora,31,scheduled,0.712707182320442,0.7312745666066641,0.6343008197869242,0.6342541367625872,32.75801467895508,288608.0,106.5760726928711,2.4694644026514925e-06,0.7024524211883545,-0.5587425827980042
cora,32,baseline,0.574585635359116,0.3443509381974205,0.44351743145238515,0.3843610002044681,47.95221734046936,487440.0,180.0,1.1787822816328493e-06,,
cora,32,scheduled,0.6740331491712708,0.5811384334117046,0.5687404426318239,0.5596522763267785,42.83708047866821,228702.0,84.45420837402344,2.947211433093155e-06,0.7643551230430603,-0.9663941860198975
cora,33,baseline,0.430939226519337,0.3752742304102443,0.28574824994606496,0.21051852382507324,47.79887366294861,487440.0,180.0,8.84086711224637e-07,,
cora,33,scheduled,0.6537753222836096,0.5321272452397512,0.5607008400831567,0.5246712027348825,29.77763080596924,255932.0,94.50959777832031,2.5544883886485846e-06,0.7377053499221802,-0.7545760273933411
cora,34,baseline,0.5303867403314917,0.34949810807697856,0.41399538718440965,0.35022997738033146,49.40230679512024,487440.0,180.0,1.0881067215072454e-06,,
cora,34,scheduled,0.6740331491712708,0.6637252301208024,0.5735480810816531,0.5618157469886783,31.425235986709595,277716.0,102.55391693115234,2.427059114963743e-06,0.7026432752609253,-0.5069612264633179
cora,35,baseline,0.5138121546961326,0.42495279192758184,0.38245321087403694,0.2999113496759427,47.75574541091919,487440.0,180.0,1.054103386460144e-06,,
cora,35,scheduled,0.7237569060773481,0.7021890691091445,0.6904356674846196,0.6900496154060881,36.63408017158508,326730.0,120.65361785888672,2.2151528971240722e-06,0.6888245344161987,-0.5818003416061401
cora,36,baseline,0.5543278084714549,0.3812353216200746,0.43738974200628766,0.3741420491289526,46.84573984146118,487440.0,180.0,1.1372226499086141e-06,,
cora,36,scheduled,0.7108655616942909,0.6027600152511825,0.6228839990357317,0.6106434126778529,37.40092206001282,326730.0,120.65361785888672,2.1756972475569763e-06,0.7176353931427002,-0.8155159950256348
cora,37,baseline,0.5009208103130756,0.3517933349178128,0.42462897132845173,0.36960613927133573,48.01111817359924,487440.0,180.0,1.0276563480901764e-06,,
cora,37,scheduled,0.6777163904235728,0.7071762099376742,0.6001273432990004,0.5964778503222885,30.19175624847412,266824.0,98.5317611694336,2.539937900726969e-06,0.7406598329544067,-0.6938812732696533
cora,38,baseline,0.2965009208103131,0.0423572744014733,0.14285714285714285,0.06534090909090909,17.96941828727722,186852.0,69.0,1.5868223021980664e-06,,
cora,38,scheduled,0.6556169429097606,0.7010734062563565,0.5845929576559038,0.5815758410929498,31.134583950042725,266824.0,98.5317611694336,2.4571138387467415e-06,0.7361904382705688,-0.5507707595825195
cora,39,baseline,0.49355432780847147,0.28758807268602044,0.3648662864528152,0.2759000745318317,46.931419134140015,487440.0,180.0,1.012543754735909e-06,,
cora,39,scheduled,0.6408839779005525,0.610215023787349,0.5612024910671909,0.5348180360252661,30.048253774642944,255932.0,94.50959777832031,2.5041181950695985e-06,0.7095497846603394,-0.7217187881469727
