dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
citeseer,40,baseline,0.7812971342383107,0.75570264054886,0.7263323352543217,0.7331810527718509,3.0509209632873535,367632.0,111.0,2.125215253945007e-06,,
citeseer,40,scheduled,0.7405731523378583,0.7036006964914324,0.695889285093037,0.6981850524486548,2.8528354167938232,399210.0,120.534423828125,1.855096696820867e-06,0.46977487206459045,1.0138719081878662
citeseer,41,baseline,0.7330316742081447,0.690629714564802,0.6808576784544403,0.6669420525510629,3.463374614715576,357696.0,108.0,2.0493147091612563e-06,,
citeseer,41,scheduled,0.7043740573152338,0.664375767290267,0.6660299627666185,0.6616573752883886,2.745407819747925,399210.0,120.534423828125,1.7644198725363439e-06,0.45798054337501526,1.0715628862380981
citeseer,42,baseline,0.779788838612368,0.7421964230636736,0.7199001051477927,0.7188605894572326,3.1472318172454834,347760.0,105.0,2.242318951611364e-06,,
citeseer,42,scheduled,0.7209653092006033,0.6850528649154292,0.6863738575002706,0.6847970630611134,3.82934308052063,399210.0,120.534423828125,1.80598008366675e-06,0.4754493832588196,0.9787678718566895
citeseer,43,baseline,0.7662141779788839,0.7673195916657037,0.7142352620430978,0.7164324293895213,2.593714475631714,327888.0,99.0,2.3368167727360683e-06,,
citeseer,43,scheduled,0.7104072398190046,0.686877349607708,0.6825144492277578,0.683186313780943,2.7283473014831543,399210.0,120.534423828125,1.7795326765837643e-06,0.456856906414032,1.0762956142425537
citeseer,44,baseline,0.7541478129713424,0.7256197953368947,0.7072578214151793,0.7091469411737082,2.855233669281006,347760.0,105.0,2.168586993821435e-06,,
citeseer,44,scheduled,0.7375565610859729,0.7076397043249868,0.711247214844228,0.7086010112041218,2.8727688789367676,399210.0,120.534423828125,1.8475402947971566e-06,0.46313050389289856,1.0335882902145386
citeseer,45,baseline,0.7812971342383107,0.7814585350143531,0.7464919352757566,0.7544512877146006,3.7212443351745605,357696.0,108.0,2.1842490109990346e-06,,
citeseer,45,scheduled,0.7450980392156863,0.7241996885975718,0.7199752187292106,0.7212773930147794,2.899629831314087,399210.0,120.534423828125,1.8664312998564322e-06,0.47175881266593933,0.9790459275245667
citeseer,46,baseline,0.77526395173454,0.7463188013886931,0.7254409316386995,0.7308016891026291,2.652769088745117,337824.0,102.0,2.2948752952263307e-06,,
citeseer,46,scheduled,0.726998491704374,0.7020872204537602,0.6998968317689888,0.7007139098735785,3.8297293186187744,399210.0,120.534423828125,1.8210928877141705e-06,0.4680200219154358,1.0161571502685547
citeseer,47,baseline,0.7767722473604827,0.7555367235461014,0.7329516154095986,0.7361397047422455,3.0511271953582764,357696.0,108.0,2.171598920201743e-06,,
citeseer,47,scheduled,0.7285067873303167,0.7052439904444875,0.7001468180039608,0.7010571956522583,2.8055579662323,399210.0,120.534423828125,1.8248710887260256e-06,0.4671262204647064,1.0167845487594604
citeseer,48,baseline,0.7420814479638009,0.6235290748287506,0.674675429023497,0.6466700044031576,2.192192554473877,317952.0,96.0,2.33394175210032e-06,,
citeseer,48,scheduled,0.7375565610859729,0.7121038484407837,0.7122380192674944,0.7117371580274595,2.7560298442840576,399210.0,120.534423828125,1.8475402947971566e-06,0.46223732829093933,1.03960382938385
citeseer,49,baseline,0.7586726998491704,0.7321247441413229,0.7113490677068204,0.7103149972613295,3.9222044944763184,367632.0,111.0,2.0636742716879117e-06,,
citeseer,49,scheduled,0.7345399698340875,0.7056435954663556,0.7065529922751033,0.7054361677987013,3.014422655105591,399210.0,120.534423828125,1.8399838927734463e-06,0.46567490696907043,1.02483332157135
