dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,30,baseline,0.8784530386740331,0.8603313001720813,0.8763343318420699,0.8671504564945779,1.9812381267547607,406200.0,150.0,2.16261210899565e-06,,
cora,30,scheduled,0.856353591160221,0.8316948532244718,0.8446628286789145,0.8370513471460563,1.9862477779388428,326730.0,120.65361785888672,2.6209824355284824e-06,0.4788302183151245,0.8118247389793396
cora,31,baseline,0.8895027624309392,0.8824322904000735,0.884125037863668,0.8824034592224891,2.0908496379852295,487440.0,180.0,1.824845647527776e-06,,
cora,31,scheduled,0.8784530386740331,0.8710415315850167,0.8760223523450161,0.8720469665610752,1.1788485050201416,326730.0,120.65361785888672,2.6886206919292173e-06,0.48253101110458374,0.7903979420661926
cora,32,baseline,0.9005524861878453,0.8904808277796828,0.8945638859256801,0.892366447797398,2.150709867477417,463068.0,171.0,1.9447521447991337e-06,,
cora,32,scheduled,0.8710865561694291,0.8543816951482456,0.8637419431679516,0.8574648852208354,1.4061100482940674,326730.0,120.65361785888672,2.6660746064623057e-06,0.47864285111427307,0.8163025975227356
cora,33,baseline,0.860036832412523,0.8450060464059392,0.8619872758446083,0.8503741083796562,2.9051525592803955,430572.0,159.0,1.9974286122008003e-06,,
cora,33,scheduled,0.850828729281768,0.8419482437898284,0.8500412690514049,0.8450337372527527,1.610142469406128,326730.0,120.65361785888672,2.6040728714282985e-06,0.47983279824256897,0.8167976140975952
cora,34,baseline,0.8747697974217311,0.8620067455476275,0.8628512406919979,0.8612769652888217,2.3151111602783203,438696.0,162.0,1.9940227342436016e-06,,
cora,34,scheduled,0.8674033149171271,0.8512181497191491,0.8502922033540374,0.8492150323810053,1.3799080848693848,326730.0,120.65361785888672,2.6548015637288497e-06,0.47233709692955017,0.8441526293754578
cora,35,baseline,0.8895027624309392,0.8740457515266262,0.8863462005831905,0.8779828318554651,2.0933496952056885,438696.0,162.0,2.0276062750308624e-06,,
cora,35,scheduled,0.8729281767955801,0.8564399164773004,0.8770339640195113,0.8642656656782476,1.755598545074463,326730.0,120.65361785888672,2.6717111278290335e-06,0.4761699140071869,0.8331685066223145
cora,36,baseline,0.8655616942909761,0.8601401064267161,0.8317356300414277,0.8441831882072722,2.269751787185669,406200.0,150.0,2.130875662951689e-06,,
cora,36,scheduled,0.8692449355432781,0.8682309512594009,0.8358312026919281,0.8492383571788235,1.5013415813446045,326730.0,120.65361785888672,2.6604380850955775e-06,0.4788217842578888,0.8169931769371033
cora,37,baseline,0.8839779005524862,0.8752931383557455,0.8734940004166828,0.8735987241491784,1.7577123641967773,414324.0,153.0,2.1335425911906773e-06,,
cora,37,scheduled,0.861878453038674,0.8535661442098504,0.8525295186588595,0.8527722005518504,1.186723232269287,326730.0,120.65361785888672,2.6378919996286662e-06,0.4618026316165924,0.8916317820549011
cora,38,baseline,0.8655616942909761,0.8612541068168159,0.8722357609698853,0.8647433376031307,3.000837564468384,487440.0,180.0,1.7757297191264075e-06,,
cora,38,scheduled,0.856353591160221,0.8570228168126318,0.85717378239859,0.8558194668718783,1.9604911804199219,326730.0,120.65361785888672,2.6209824355284824e-06,0.4735420048236847,0.8396668434143066
cora,39,baseline,0.858195211786372,0.8606927701717159,0.8483825511005882,0.8519362819312608,2.0448765754699707,438696.0,162.0,1.9562412508579338e-06,,
cora,39,scheduled,0.8692449355432781,0.8692597280396777,0.8622949312951064,0.8639751374911365,1.227304220199585,326730.0,120.65361785888672,2.6604380850955775e-06,0.49024754762649536,0.7754149436950684
