dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,20,baseline,0.8858195211786372,0.8776378989183691,0.8805221441351486,0.8781174710060068,2.8980445861816406,487440.0,180.0,1.8172893508506424e-06,,
cora,20,scheduled,0.8802946593001841,0.8712459796122198,0.8713977929717825,0.8705770385117627,1.8910343647003174,326730.0,120.65361785888672,2.694257213295945e-06,0.4823188781738281,0.8008068799972534
cora,21,baseline,0.8876611418047882,0.8866790898249192,0.8832522503123948,0.8836130421354195,2.619987726211548,487440.0,180.0,1.8210674991892093e-06,,
cora,21,scheduled,0.8729281767955801,0.8712723799148939,0.869126160245287,0.8696823195570025,1.4199683666229248,326730.0,120.65361785888672,2.6717111278290335e-06,0.48131534457206726,0.8143061995506287
cora,22,baseline,0.8637200736648251,0.8530115764709191,0.8557872626126359,0.8519716453188132,1.9654607772827148,463068.0,171.0,1.8652121797766743e-06,,
cora,22,scheduled,0.8471454880294659,0.8343596828810661,0.8400973217017673,0.8350830598291968,1.2159721851348877,326730.0,120.65361785888672,2.5927998286948425e-06,0.4797832667827606,0.811090350151062
cora,23,baseline,0.8913443830570903,0.8763143587354449,0.8847610207770503,0.8803624524929167,2.984626531600952,487440.0,180.0,1.8286237958663432e-06,,
cora,23,scheduled,0.8674033149171271,0.8551354133626211,0.8638218697923351,0.8586620840026162,1.545950174331665,326730.0,120.65361785888672,2.6548015637288497e-06,0.4763299226760864,0.8254708647727966
cora,24,baseline,0.8729281767955801,0.8674184462154387,0.8551408368748226,0.860297204539207,2.0393829345703125,471192.0,174.0,1.8525954956696635e-06,,
cora,24,scheduled,0.8655616942909761,0.8530149202770884,0.8579182692052619,0.8552640607713557,1.2061145305633545,326730.0,120.65361785888672,2.649165042362122e-06,0.47565874457359314,0.8241558074951172
cora,25,baseline,0.8784530386740331,0.8842273871811489,0.876726098185278,0.8798912319823428,2.056025743484497,430572.0,159.0,2.040200102826085e-06,,
cora,25,scheduled,0.8747697974217311,0.878573217079709,0.8677791388202375,0.8716447418215807,2.1571521759033203,326730.0,120.65361785888672,2.6773476491957613e-06,0.4796586036682129,0.8155013918876648
cora,26,baseline,0.861878453038674,0.8572920576499333,0.8491215547858417,0.8480414495005094,2.057258129119873,414324.0,153.0,2.0802040264109105e-06,,
cora,26,scheduled,0.852670349907919,0.8480670235090036,0.8367023389792185,0.8377805623681629,1.511277675628662,326730.0,120.65361785888672,2.6097093927950263e-06,0.4880228042602539,0.7805776000022888
cora,27,baseline,0.8931860036832413,0.8854586661658693,0.8856421800701663,0.8851420234861147,2.328526258468628,438696.0,162.0,2.0360021602276777e-06,,
cora,27,scheduled,0.8729281767955801,0.8651276155195544,0.8656490720121354,0.8648481641185202,1.529456377029419,326730.0,120.65361785888672,2.6717111278290335e-06,0.4729563891887665,0.850483775138855
cora,28,baseline,0.8729281767955801,0.8631204360945973,0.8593925347480145,0.8591554242529652,2.80179762840271,414324.0,153.0,2.1068733088007937e-06,,
cora,28,scheduled,0.852670349907919,0.8377867756516829,0.849446860665909,0.8410763311292867,1.450693130493164,326730.0,120.65361785888672,2.6097093927950263e-06,0.4853403866291046,0.7938296794891357
cora,29,baseline,0.8784530386740331,0.8612184398844198,0.8688173312540393,0.8639468605630826,2.546229600906372,487440.0,180.0,1.8021767574963752e-06,,
cora,29,scheduled,0.8655616942909761,0.8452023460129718,0.84891827402958,0.846133293909831,1.4029746055603027,326730.0,120.65361785888672,2.649165042362122e-06,0.47800540924072266,0.8140230178833008
