dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
citeseer,10,baseline,0.755656108597285,0.7585288125753881,0.7090972762273005,0.7111660944042808,2.8577353954315186,347760.0,105.0,2.1729241678090783e-06,,
citeseer,10,scheduled,0.746606334841629,0.7264025894210157,0.7125006451141416,0.7154432318808666,2.6482737064361572,399210.0,120.534423828125,1.8702095008682874e-06,0.47104182839393616,1.0002092123031616
citeseer,11,baseline,0.7903469079939668,0.7558559996221833,0.7275150355714796,0.7252545099345445,3.167525053024292,327888.0,99.0,2.4104173010112196e-06,,
citeseer,11,scheduled,0.7330316742081447,0.687707916315672,0.6895184685064465,0.6869172569129794,3.676898956298828,399210.0,120.534423828125,1.836205691761591e-06,0.47000038623809814,0.9951794743537903
citeseer,12,baseline,0.7647058823529411,0.7370459058677294,0.7089545204197624,0.7107498379420357,2.398977518081665,357696.0,108.0,2.137865344742298e-06,,
citeseer,12,scheduled,0.7345399698340875,0.7004848244784382,0.6990784734520918,0.6989907921303277,2.911928653717041,399210.0,120.534423828125,1.8399838927734463e-06,0.459351509809494,1.0713310241699219
citeseer,13,baseline,0.755656108597285,0.7347031533029283,0.7196756823897784,0.7210685780357821,2.894860029220581,377568.0,114.0,2.0013775229820458e-06,,
citeseer,13,scheduled,0.7104072398190046,0.6851737266433054,0.6883164142484174,0.6852752677535993,2.5764012336730957,399210.0,120.534423828125,1.7795326765837643e-06,0.4645649194717407,1.031569480895996
citeseer,14,baseline,0.7541478129713424,0.7387922645890468,0.705852147245868,0.7029267043414161,3.369931697845459,327888.0,99.0,2.300016508598492e-06,,
citeseer,14,scheduled,0.7194570135746606,0.6970386091534951,0.6997350440140441,0.6979209841725961,2.790093421936035,399210.0,120.534423828125,1.802201882654895e-06,0.459962397813797,1.0646718740463257
citeseer,15,baseline,0.779788838612368,0.7283907241057342,0.7127948301488023,0.7095832831366516,2.523555278778076,337824.0,102.0,2.3082695090116986e-06,,
citeseer,15,scheduled,0.7330316742081447,0.7030990199527936,0.6968678059816306,0.698683896475965,3.9051475524902344,399210.0,120.534423828125,1.836205691761591e-06,0.4646424651145935,1.0250895023345947
citeseer,16,baseline,0.7601809954751131,0.7608635741239705,0.6917909831246742,0.6901381087091796,2.2698616981506348,337824.0,102.0,2.2502279159417717e-06,,
citeseer,16,scheduled,0.726998491704374,0.6940268629112946,0.6900601891314012,0.6916503324450102,2.626269817352295,399210.0,120.534423828125,1.8210928877141705e-06,0.4630366861820221,1.0295758247375488
citeseer,17,baseline,0.746606334841629,0.6275630286649593,0.6894050977958516,0.6547330182528153,2.4727237224578857,317952.0,96.0,2.348173104247273e-06,,
citeseer,17,scheduled,0.7254901960784313,0.7011704225214234,0.7006969053252462,0.6996284182352808,3.17592191696167,399210.0,120.534423828125,1.8173146867023155e-06,0.4624978303909302,1.0475558042526245
citeseer,18,baseline,0.7405731523378583,0.6888878122512518,0.6790376605904451,0.6680714329269583,3.5901503562927246,357696.0,108.0,2.0703981938234094e-06,,
citeseer,18,scheduled,0.717948717948718,0.6952774306053549,0.6925393312824037,0.693168174205879,3.4232656955718994,399210.0,120.534423828125,1.79842368164304e-06,0.4685249626636505,1.0150909423828125
citeseer,19,baseline,0.755656108597285,0.7416742516604442,0.6981674035958697,0.6852913267401742,2.644075632095337,317952.0,96.0,2.3766358085411792e-06,,
citeseer,19,scheduled,0.7194570135746606,0.69548703361653,0.6887459071286454,0.6898283729924325,3.6505489349365234,399210.0,120.534423828125,1.802201882654895e-06,0.46226173639297485,1.0465168952941895
