group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,20,baseline,0.8876611418047882,0.8796005027318824,0.8782306289494889,0.877754717870997,3.519683837890625,487440.0,180.0,1.8210674991892093e-06,,
cora,20,scheduled,0.8913443830570903,0.8776791716971382,0.8826871726074845,0.879308435542573,2.8858654499053955,326730.0,120.65361785888672,2.728076341496313e-06,0.49824362993240356,0.47608137130737305
cora,21,baseline,0.8802946593001841,0.8919884142331663,0.8784494144448786,0.883561734221696,3.941303253173828,487440.0,180.0,1.805954905834942e-06,,
cora,21,scheduled,0.8766114180478821,0.8864903506024238,0.8727092639664882,0.8777247097270129,2.679793357849121,304946.0,112.60930633544922,2.87464475037509e-06,0.501502275466919,0.475001722574234
cora,22,baseline,0.861878453038674,0.8433495919719263,0.8542134338162987,0.847451404154129,3.501077175140381,487440.0,180.0,1.768173422449274e-06,,
cora,22,scheduled,0.8655616942909761,0.8507306986584847,0.8560705286204928,0.8522829350734261,3.9948244094848633,326730.0,120.65361785888672,2.649165042362122e-06,0.48432013392448425,0.5362036824226379
cora,23,baseline,0.8784530386740331,0.8676670082012726,0.8608100396849413,0.8635072966131864,3.451171875,487440.0,180.0,1.8021767574963752e-06,,
cora,23,scheduled,0.8821362799263351,0.8801753232328862,0.8685087289167317,0.8729204278647489,2.582880973815918,294054.0,108.58715057373047,2.9999125328216423e-06,0.5118951797485352,0.41987499594688416
cora,24,baseline,0.861878453038674,0.8568439180891618,0.8491725061402667,0.8526100539160486,4.431124925613403,487440.0,180.0,1.768173422449274e-06,,
cora,24,scheduled,0.848987108655617,0.8419413474794982,0.8332886465139558,0.8370951683103168,3.0100314617156982,326730.0,120.65361785888672,2.5984363500615707e-06,0.5355448126792908,0.30452761054039
cora,25,baseline,0.8858195211786372,0.8966729080938414,0.8780170144498989,0.8860539036141699,3.4173901081085205,487440.0,180.0,1.8172893508506424e-06,,
cora,25,scheduled,0.8729281767955801,0.8835158219101846,0.86302485554809,0.8698430067924049,2.349581241607666,277716.0,102.55391693115234,3.143240493149765e-06,0.5092899799346924,0.4223790466785431
cora,26,baseline,0.860036832412523,0.8503428492120886,0.8447928738421063,0.8443324107221007,4.026510238647461,479316.0,177.0,1.7943002787566512e-06,,
cora,26,scheduled,0.852670349907919,0.8430041745690086,0.8341827504920493,0.834703099733647,2.8395273685455322,326730.0,120.65361785888672,2.6097093927950263e-06,0.48966673016548157,0.4879216253757477
cora,27,baseline,0.8729281767955801,0.8754769386667507,0.8617335138860509,0.8674039045019988,3.4706528186798096,487440.0,180.0,1.7908423124806747e-06,,
cora,27,scheduled,0.8784530386740331,0.8777203240565309,0.8731852200745992,0.8746151343860473,3.862056255340576,326730.0,120.65361785888672,2.6886206919292173e-06,0.4843508005142212,0.499561071395874
cora,28,baseline,0.8471454880294659,0.8385909710026125,0.8386926061184622,0.837335513324572,3.43108868598938,487440.0,180.0,1.737948235740739e-06,,
cora,28,scheduled,0.85451197053407,0.8406922926889425,0.8390395172078052,0.8380679804167519,2.8489181995391846,326730.0,120.65361785888672,2.6153459141617546e-06,0.5304247140884399,0.3185972571372986
cora,29,baseline,0.8968692449355433,0.879078990164192,0.8866465602397161,0.8815639406974844,4.163897514343262,487440.0,180.0,1.8399582408820437e-06,,
cora,29,scheduled,0.8766114180478821,0.8608018384071957,0.8708762202737069,0.8642047132814673,3.0980114936828613,326730.0,120.65361785888672,2.682984170562489e-06,0.53135746717453,0.3256434500217438
