group,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
citeseer,0,baseline,0.7450980392156863,0.7309524524395719,0.6799202551992857,0.6763713783835197,4.375452995300293,387504.0,117.0,1.9228138011883395e-06,,
citeseer,0,scheduled,0.7586726998491704,0.7375464689685985,0.717726724459338,0.7233176811531253,4.0754194259643555,246168.0,74.32608795166016,3.0819306321259075e-06,0.583871603012085,0.1494576781988144
citeseer,1,baseline,0.77526395173454,0.7619837840224172,0.719478764747831,0.7217952624548923,4.763700008392334,437184.0,132.0,1.7733127281294375e-06,,
citeseer,1,scheduled,0.7692307692307693,0.7430198688534521,0.7201920717445485,0.7239248900517866,3.3561415672302246,219552.0,66.28985595703125,3.503638177883915e-06,0.6019538044929504,0.09146977216005325
citeseer,2,baseline,0.7360482654600302,0.7817334625496017,0.6749955906777706,0.6781265194486849,4.046917200088501,377568.0,114.0,1.949445571287901e-06,,
citeseer,2,scheduled,0.7285067873303167,0.6891488903253609,0.6768396402071833,0.6757223009192194,3.025171995162964,212898.0,64.28079986572266,3.421858295194491e-06,0.5958880186080933,0.09155761450529099
citeseer,3,baseline,0.7767722473604827,0.7747243999061246,0.7124490643835882,0.7134438019229746,4.117332220077515,377568.0,114.0,2.057304240191125e-06,,
citeseer,3,scheduled,0.7737556561085973,0.754069098618598,0.7331846449405973,0.7400901816431215,3.0779831409454346,219552.0,66.28985595703125,3.5242478142244083e-06,0.6164550185203552,0.004957488272339106
citeseer,4,baseline,0.7616892911010558,0.8018029594909951,0.6905249477739549,0.6813802128614849,4.852903366088867,377568.0,114.0,2.0173565850417828e-06,,
citeseer,4,scheduled,0.7677224736048266,0.7289179311785952,0.7148786648168536,0.715598234356582,3.1269657611846924,199590.0,60.26268005371094,3.846497688285118e-06,0.6004988551139832,0.08399347215890884
citeseer,5,baseline,0.7647058823529411,0.7736382491633113,0.69980741257434,0.6846052192469134,4.868548393249512,347760.0,105.0,2.1989472117349354e-06,,
citeseer,5,scheduled,0.7828054298642534,0.7573799571782707,0.7416906577464025,0.7437957001777368,3.4118010997772217,226206.0,68.29891204833984,3.460586500200054e-06,0.5935349464416504,0.13045485317707062
citeseer,6,baseline,0.7586726998491704,0.8004680365414117,0.6876253720145398,0.6637644908482739,4.8434906005859375,387504.0,117.0,1.9578448218577627e-06,,
citeseer,6,scheduled,0.7631975867269984,0.7491501402671634,0.7201628746533991,0.725539594101314,3.2274653911590576,206244.0,62.2717399597168,3.700459585379446e-06,0.5823899507522583,0.16466839611530304
citeseer,7,baseline,0.770739064856712,0.7393969515991573,0.7190915196858333,0.7246247354752552,4.106704473495483,387504.0,117.0,1.98898350689725e-06,,
citeseer,7,scheduled,0.755656108597285,0.7299030898392219,0.7090888386154592,0.7155745179640447,4.655092239379883,246168.0,74.32608795166016,3.0696764347814708e-06,0.5884875059127808,0.14161862432956696
citeseer,8,baseline,0.7631975867269984,0.7429698471946461,0.7018023690605403,0.6877245400088613,4.220057725906372,397440.0,120.0,1.920283783028881e-06,,
citeseer,8,scheduled,0.7616892911010558,0.72750422817496,0.7215743459880408,0.7206633202038248,3.9787588119506836,226206.0,68.29891204833984,3.3672373460520755e-06,0.612354040145874,0.02974993921816349
citeseer,9,baseline,0.77526395173454,0.7509831854940551,0.7010712155332722,0.6878056845621295,4.199369430541992,397440.0,120.0,1.9506440009423813e-06,,
citeseer,9,scheduled,0.7828054298642534,0.7578118056276808,0.738712511173174,0.7426768954408223,3.714054584503174,239514.0,72.31703186035156,3.2683076140194453e-06,0.6071838736534119,0.01996193453669548
